EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	TimestepsSoFar
-165.246831627	101.0	2.38419e-07	-3.32956e-05	0.0	0.467209659448	2525
-166.767080253	101.0	9.62019e-05	-0.000202157	0.198709138699	0.464214919111	5050
-169.431402699	101.0	0.00281399	-0.000533843	0.270153526797	0.598051386352	7575
-176.746876404	101.0	0.0113655	-0.00101985	0.178127876778	0.584747995769	10100
-172.410385368	101.0	0.0110359	-0.00170964	0.270550900475	0.598692317165	12625
-166.704478184	101.0	0.00602722	-0.00302632	-0.00839294329504	0.520205006376	15150
-167.937614127	101.0	0.00295693	-0.00378175	0.405225905237	0.516126483439	17675
-168.0897291	101.0	0.00271034	-0.00530858	0.35866903248	0.587193734399	20200
-174.949512891	101.0	0.00212401	-0.0103128	-1.19442235943	0.540257167066	22725
-166.375062738	101.0	0.00194681	-0.0122592	0.192033103361	0.471467669692	25250
-166.8474648	101.0	0.00125122	-0.0190005	0.407359726531	0.607906515189	27775
-173.661500036	101.0	0.00118029	-0.0188681	-0.122316789109	0.444310654386	30300
-174.135032758	101.0	0.000611901	-0.0244628	0.423140113584	0.52911591351	32825
-176.057699035	101.0	0.000745833	-0.0336524	0.218330012851	0.604188472176	35350
-173.772916701	101.0	0.00051415	-0.0851259	-0.228111304	0.572344814097	37875
-168.217162399	101.0	0.000291824	-0.110239	0.306840951204	0.534323470763	40400
-172.035097561	101.0	0.000217974	-0.238259	0.0986920338222	0.461180085601	42925
-189.369975304	101.0	0.00065136	-0.586896	0.326724012215	0.567650112991	45450
-180.778422353	101.0	0.00202698	-1.73204	-0.745876695663	0.456808745987	47975
-194.512014625	101.0	0.0106671	-2.40895	-0.0911332899431	0.351591276207	50500
-202.686974326	101.0	0.0304315	-8.69372	0.171402356623	0.509267025119	53025
-158.355264846	101.0	0.0210206	-28.7119	-1.21940146371	0.779984882552	55550
-139.495224266	101.0	0.0553832	-23.5918	0.728619008567	0.895036493403	58075
-186.962609522	101.0	0.0168464	-22.1669	-0.345979629433	0.793022948275	60600
-198.671406305	101.0	0.00668889	-30.6727	0.286911145794	0.653131253923	63125
-199.509956747	101.0	0.00148022	-28.35	0.436755999538	0.570692434729	65650
-208.610569359	101.0	0.000550091	-33.1111	0.46867020068	0.570167885448	68175
-216.659808986	101.0	0.000713408	-33.4152	0.394114764897	0.459938644987	70700
-218.798797343	101.0	0.0153955	-58.1258	0.523797918184	0.670236102451	73225
-225.463637573	101.0	0.00164938	-76.1834	0.472778613482	0.577210250631	75750
-223.71772432	101.0	0.000738978	-87.0942	0.442712560707	0.54707516545	78275
-221.281357065	101.0	0.000689328	-92.6442	0.49478558858	0.64439204448	80800
